  15.00  25.00   6.00   0.10  10.00
  15.00  25.00   6.00   0.10  20.00
  15.00  25.00   6.00   0.20   1.00
  15.00  25.00   6.00   0.20   5.00
  15.00  25.00   6.00   0.20  10.00
  15.00  25.00   6.00   0.20  20.00
  15.00  30.00   5.00   0.01   1.00
  15.00  30.00   5.00   0.01   5.00
  15.00  30.00   5.00   0.01  10.00
  15.00  30.00   5.00   0.01  20.00
  15.00  30.00   5.00   0.05   1.00
  15.00  30.00   5.00   0.05   5.00
  15.00  30.00   5.00   0.05  10.00
  15.00  30.00   5.00   0.05  20.00
  15.00  30.00   5.00   0.10   1.00
  15.00  30.00   5.00   0.10   5.00
  15.00  30.00   5.00   0.10  10.00
  15.00  30.00   5.00   0.10  20.00
  15.00  30.00   5.00   0.20   1.00
  15.00  30.00   5.00   0.20   5.00
  15.00  30.00   5.00   0.20  10.00
  15.00  30.00   5.00   0.20  20.00
  15.00  30.00   6.00   0.01   1.00
  15.00  30.00   6.00   0.01   5.00
  15.00  30.00   6.00   0.01  10.00
  15.00  30.00   6.00   0.01  20.00
  15.00  30.00   6.00   0.05   1.00
  15.00  30.00   6.00   0.05   5.00
  15.00  30.00   6.00   0.05  10.00
  15.00  30.00   6.00   0.05  20.00
  15.00  30.00   6.00   0.10   1.00
  15.00  30.00   6.00   0.10   5.00
  15.00  30.00   6.00   0.10  10.00
  15.00  30.00   6.00   0.10  20.00
  15.00  30.00   6.00   0.20   1.00
  15.00  30.00   6.00   0.20   5.00
  15.00  30.00   6.00   0.20  10.00
  15.00  30.00   6.00   0.20  20.00
  15.00  35.00   5.00   0.01   1.00
  15.00  35.00   5.00   0.01   5.00
  15.00  35.00   5.00   0.01  10.00
  15.00  35.00   5.00   0.01  20.00
  15.00  35.00   5.00   0.05   1.00
  15.00  35.00   5.00   0.05   5.00
  15.00  35.00   5.00   0.05  10.00
  15.00  35.00   5.00   0.05  20.00
  15.00  35.00   5.00   0.10   1.00
  15.00  35.00   5.00   0.10   5.00
  15.00  35.00   5.00   0.10  10.00
  15.00  35.00   5.00   0.10  20.00
  15.00  35.00   5.00   0.20   1.00
  15.00  35.00   5.00   0.20   5.00
  15.00  35.00   5.00   0.20  10.00
  15.00  35.00   5.00   0.20  20.00
  15.00  35.00   6.00   0.01   1.00
  15.00  35.00   6.00   0.01   5.00
  15.00  35.00   6.00   0.01  10.00
  15.00  35.00   6.00   0.01  20.00
  15.00  35.00   6.00   0.05   1.00
  15.00  35.00   6.00   0.05   5.00
  15.00  35.00   6.00   0.05  10.00
  15.00  35.00   6.00   0.05  20.00
  15.00  35.00   6.00   0.10   1.00
  15.00  35.00   6.00   0.10   5.00
  15.00  35.00   6.00   0.10  10.00
  15.00  35.00   6.00   0.10  20.00
  15.00  35.00   6.00   0.20   1.00
  15.00  35.00   6.00   0.20   5.00
  15.00  35.00   6.00   0.20  10.00
  15.00  35.00   6.00   0.20  20.00
  15.00  40.00   5.00   0.01   1.00
  15.00  40.00   5.00   0.01   5.00
  15.00  40.00   5.00   0.01  10.00
  15.00  40.00   5.00   0.01  20.00
  15.00  40.00   5.00   0.05   1.00
  15.00  40.00   5.00   0.05   5.00
  15.00  40.00   5.00   0.05  10.00
  15.00  40.00   5.00   0.05  20.00
  15.00  40.00   5.00   0.10   1.00
  15.00  40.00   5.00   0.10   5.00
  15.00  40.00   5.00   0.10  10.00
  15.00  40.00   5.00   0.10  20.00
  15.00  40.00   5.00   0.20   1.00
  15.00  40.00   5.00   0.20   5.00
  15.00  40.00   5.00   0.20  10.00
  15.00  40.00   5.00   0.20  20.00
  15.00  40.00   6.00   0.01   1.00
  15.00  40.00   6.00   0.01   5.00
  15.00  40.00   6.00   0.01  10.00
  15.00  40.00   6.00   0.01  20.00
  15.00  40.00   6.00   0.05   1.00
  15.00  40.00   6.00   0.05   5.00
  15.00  40.00   6.00   0.05  10.00
  15.00  40.00   6.00   0.05  20.00
  15.00  40.00   6.00   0.10   1.00
  15.00  40.00   6.00   0.10   5.00
  15.00  40.00   6.00   0.10  10.00
  15.00  40.00   6.00   0.10  20.00
  15.00  40.00   6.00   0.20   1.00
  15.00  40.00   6.00   0.20   5.00
  15.00  40.00   6.00   0.20  10.00
  15.00  40.00   6.00   0.20  20.00
  20.00   5.00   5.00   0.01   1.00
  20.00   5.00   5.00   0.01   5.00
  20.00   5.00   5.00   0.01  10.00
  20.00   5.00   5.00   0.01  20.00
  20.00   5.00   5.00   0.05   1.00
  20.00   5.00   5.00   0.05   5.00
  20.00   5.00   5.00   0.05  10.00
  20.00   5.00   5.00   0.05  20.00
  20.00   5.00   5.00   0.10   1.00
  20.00   5.00   5.00   0.10   5.00
  20.00   5.00   5.00   0.10  10.00
  20.00   5.00   5.00   0.10  20.00
  20.00   5.00   5.00   0.20   1.00
  20.00   5.00   5.00   0.20   5.00
  20.00   5.00   5.00   0.20  10.00
  20.00   5.00   5.00   0.20  20.00
  20.00   5.00   6.00   0.01   1.00
  20.00   5.00   6.00   0.01   5.00
  20.00   5.00   6.00   0.01  10.00
  20.00   5.00   6.00   0.01  20.00
  20.00   5.00   6.00   0.05   1.00
  20.00   5.00   6.00   0.05   5.00
  20.00   5.00   6.00   0.05  10.00
  20.00   5.00   6.00   0.05  20.00
  20.00   5.00   6.00   0.10   1.00
  20.00   5.00   6.00   0.10   5.00
  20.00   5.00   6.00   0.10  10.00
  20.00   5.00   6.00   0.10  20.00
  20.00   5.00   6.00   0.20   1.00
  20.00   5.00   6.00   0.20   5.00
  20.00   5.00   6.00   0.20  10.00
  20.00   5.00   6.00   0.20  20.00
  20.00  10.00   5.00   0.01   1.00
  20.00  10.00   5.00   0.01   5.00
  20.00  10.00   5.00   0.01  10.00
  20.00  10.00   5.00   0.01  20.00
  20.00  10.00   5.00   0.05   1.00
  20.00  10.00   5.00   0.05   5.00
  20.00  10.00   5.00   0.05  10.00
  20.00  10.00   5.00   0.05  20.00
  20.00  10.00   5.00   0.10   1.00
  20.00  10.00   5.00   0.10   5.00
  20.00  10.00   5.00   0.10  10.00
  20.00  10.00   5.00   0.10  20.00
  20.00  10.00   5.00   0.20   1.00
  20.00  10.00   5.00   0.20   5.00
  20.00  10.00   5.00   0.20  10.00
  20.00  10.00   5.00   0.20  20.00
  20.00  10.00   6.00   0.01   1.00
  20.00  10.00   6.00   0.01   5.00
  20.00  10.00   6.00   0.01  10.00
  20.00  10.00   6.00   0.01  20.00
  20.00  10.00   6.00   0.05   1.00
  20.00  10.00   6.00   0.05   5.00
  20.00  10.00   6.00   0.05  10.00
  20.00  10.00   6.00   0.05  20.00
  20.00  10.00   6.00   0.10   1.00
  20.00  10.00   6.00   0.10   5.00
  20.00  10.00   6.00   0.10  10.00
  20.00  10.00   6.00   0.10  20.00
  20.00  10.00   6.00   0.20   1.00
  20.00  10.00   6.00   0.20   5.00
  20.00  10.00   6.00   0.20  10.00
  20.00  10.00   6.00   0.20  20.00
  20.00  15.00   5.00   0.01   1.00
  20.00  15.00   5.00   0.01   5.00
  20.00  15.00   5.00   0.01  10.00
  20.00  15.00   5.00   0.01  20.00
  20.00  15.00   5.00   0.05   1.00
  20.00  15.00   5.00   0.05   5.00
  20.00  15.00   5.00   0.05  10.00
  20.00  15.00   5.00   0.05  20.00
  20.00  15.00   5.00   0.10   1.00
  20.00  15.00   5.00   0.10   5.00
  20.00  15.00   5.00   0.10  10.00
  20.00  15.00   5.00   0.10  20.00
  20.00  15.00   5.00   0.20   1.00
  20.00  15.00   5.00   0.20   5.00
  20.00  15.00   5.00   0.20  10.00
  20.00  15.00   5.00   0.20  20.00
  20.00  15.00   6.00   0.01   1.00
  20.00  15.00   6.00   0.01   5.00
  20.00  15.00   6.00   0.01  10.00
  20.00  15.00   6.00   0.01  20.00
  20.00  15.00   6.00   0.05   1.00
  20.00  15.00   6.00   0.05   5.00
  20.00  15.00   6.00   0.05  10.00
  20.00  15.00   6.00   0.05  20.00
  20.00  15.00   6.00   0.10   1.00
  20.00  15.00   6.00   0.10   5.00
  20.00  15.00   6.00   0.10  10.00
  20.00  15.00   6.00   0.10  20.00
  20.00  15.00   6.00   0.20   1.00
  20.00  15.00   6.00   0.20   5.00
  20.00  15.00   6.00   0.20  10.00
  20.00  15.00   6.00   0.20  20.00
  20.00  20.00   5.00   0.01   1.00
  20.00  20.00   5.00   0.01   5.00
  20.00  20.00   5.00   0.01  10.00
  20.00  20.00   5.00   0.01  20.00
  20.00  20.00   5.00   0.05   1.00
  20.00  20.00   5.00   0.05   5.00
  20.00  20.00   5.00   0.05  10.00
  20.00  20.00   5.00   0.05  20.00
  20.00  20.00   5.00   0.10   1.00
  20.00  20.00   5.00   0.10   5.00
  20.00  20.00   5.00   0.10  10.00
  20.00  20.00   5.00   0.10  20.00
  20.00  20.00   5.00   0.20   1.00
  20.00  20.00   5.00   0.20   5.00
  20.00  20.00   5.00   0.20  10.00
  20.00  20.00   5.00   0.20  20.00
  20.00  20.00   6.00   0.01   1.00
  20.00  20.00   6.00   0.01   5.00
  20.00  20.00   6.00   0.01  10.00
  20.00  20.00   6.00   0.01  20.00
  20.00  20.00   6.00   0.05   1.00
  20.00  20.00   6.00   0.05   5.00
  20.00  20.00   6.00   0.05  10.00
  20.00  20.00   6.00   0.05  20.00
  20.00  20.00   6.00   0.10   1.00
  20.00  20.00   6.00   0.10   5.00
  20.00  20.00   6.00   0.10  10.00
  20.00  20.00   6.00   0.10  20.00
  20.00  20.00   6.00   0.20   1.00
  20.00  20.00   6.00   0.20   5.00
  20.00  20.00   6.00   0.20  10.00
  20.00  20.00   6.00   0.20  20.00
  20.00  25.00   5.00   0.01   1.00
  20.00  25.00   5.00   0.01   5.00
  20.00  25.00   5.00   0.01  10.00
  20.00  25.00   5.00   0.01  20.00
  20.00  25.00   5.00   0.05   1.00
  20.00  25.00   5.00   0.05   5.00
  20.00  25.00   5.00   0.05  10.00
  20.00  25.00   5.00   0.05  20.00
  20.00  25.00   5.00   0.10   1.00
  20.00  25.00   5.00   0.10   5.00
  20.00  25.00   5.00   0.10  10.00
  20.00  25.00   5.00   0.10  20.00
  20.00  25.00   5.00   0.20   1.00
  20.00  25.00   5.00   0.20   5.00
  20.00  25.00   5.00   0.20  10.00
  20.00  25.00   5.00   0.20  20.00
  20.00  25.00   6.00   0.01   1.00
  20.00  25.00   6.00   0.01   5.00
  20.00  25.00   6.00   0.01  10.00
  20.00  25.00   6.00   0.01  20.00
  20.00  25.00   6.00   0.05   1.00
  20.00  25.00   6.00   0.05   5.00
  20.00  25.00   6.00   0.05  10.00
  20.00  25.00   6.00   0.05  20.00
  20.00  25.00   6.00   0.10   1.00
  20.00  25.00   6.00   0.10   5.00
  20.00  25.00   6.00   0.10  10.00
  20.00  25.00   6.00   0.10  20.00
  20.00  25.00   6.00   0.20   1.00
  20.00  25.00   6.00   0.20   5.00
  20.00  25.00   6.00   0.20  10.00
  20.00  25.00   6.00   0.20  20.00
  20.00  30.00   5.00   0.01   1.00
  20.00  30.00   5.00   0.01   5.00
  20.00  30.00   5.00   0.01  10.00
  20.00  30.00   5.00   0.01  20.00
  20.00  30.00   5.00   0.05   1.00
  20.00  30.00   5.00   0.05   5.00
  20.00  30.00   5.00   0.05  10.00
  20.00  30.00   5.00   0.05  20.00
  20.00  30.00   5.00   0.10   1.00
  20.00  30.00   5.00   0.10   5.00
  20.00  30.00   5.00   0.10  10.00
  20.00  30.00   5.00   0.10  20.00
  20.00  30.00   5.00   0.20   1.00
  20.00  30.00   5.00   0.20   5.00
  20.00  30.00   5.00   0.20  10.00
  20.00  30.00   5.00   0.20  20.00
  20.00  30.00   6.00   0.01   1.00
  20.00  30.00   6.00   0.01   5.00
  20.00  30.00   6.00   0.01  10.00
  20.00  30.00   6.00   0.01  20.00
  20.00  30.00   6.00   0.05   1.00
  20.00  30.00   6.00   0.05   5.00
  20.00  30.00   6.00   0.05  10.00
  20.00  30.00   6.00   0.05  20.00
  20.00  30.00   6.00   0.10   1.00
  20.00  30.00   6.00   0.10   5.00
  20.00  30.00   6.00   0.10  10.00
  20.00  30.00   6.00   0.10  20.00
  20.00  30.00   6.00   0.20   1.00
  20.00  30.00   6.00   0.20   5.00
  20.00  30.00   6.00   0.20  10.00
  20.00  30.00   6.00   0.20  20.00
  20.00  35.00   5.00   0.01   1.00
  20.00  35.00   5.00   0.01   5.00
  20.00  35.00   5.00   0.01  10.00
  20.00  35.00   5.00   0.01  20.00
  20.00  35.00   5.00   0.05   1.00
  20.00  35.00   5.00   0.05   5.00
  20.00  35.00   5.00   0.05  10.00
  20.00  35.00   5.00   0.05  20.00
  20.00  35.00   5.00   0.10   1.00
  20.00  35.00   5.00   0.10   5.00
  20.00  35.00   5.00   0.10  10.00
  20.00  35.00   5.00   0.10  20.00
  20.00  35.00   5.00   0.20   1.00
  20.00  35.00   5.00   0.20   5.00
  20.00  35.00   5.00   0.20  10.00
  20.00  35.00   5.00   0.20  20.00
  20.00  35.00   6.00   0.01   1.00
  20.00  35.00   6.00   0.01   5.00
  20.00  35.00   6.00   0.01  10.00
  20.00  35.00   6.00   0.01  20.00
  20.00  35.00   6.00   0.05   1.00
  20.00  35.00   6.00   0.05   5.00
  20.00  35.00   6.00   0.05  10.00
  20.00  35.00   6.00   0.05  20.00
  20.00  35.00   6.00   0.10   1.00
  20.00  35.00   6.00   0.10   5.00
  20.00  35.00   6.00   0.10  10.00
  20.00  35.00   6.00   0.10  20.00
  20.00  35.00   6.00   0.20   1.00
  20.00  35.00   6.00   0.20   5.00
  20.00  35.00   6.00   0.20  10.00
  20.00  35.00   6.00   0.20  20.00
  20.00  40.00   5.00   0.01   1.00
  20.00  40.00   5.00   0.01   5.00
  20.00  40.00   5.00   0.01  10.00
  20.00  40.00   5.00   0.01  20.00
  20.00  40.00   5.00   0.05   1.00
  20.00  40.00   5.00   0.05   5.00
  20.00  40.00   5.00   0.05  10.00
  20.00  40.00   5.00   0.05  20.00
  20.00  40.00   5.00   0.10   1.00
  20.00  40.00   5.00   0.10   5.00
  20.00  40.00   5.00   0.10  10.00
  20.00  40.00   5.00   0.10  20.00
  20.00  40.00   5.00   0.20   1.00
  20.00  40.00   5.00   0.20   5.00
  20.00  40.00   5.00   0.20  10.00
  20.00  40.00   5.00   0.20  20.00
  20.00  40.00   6.00   0.01   1.00
  20.00  40.00   6.00   0.01   5.00
  20.00  40.00   6.00   0.01  10.00
  20.00  40.00   6.00   0.01  20.00
  20.00  40.00   6.00   0.05   1.00
  20.00  40.00   6.00   0.05   5.00
  20.00  40.00   6.00   0.05  10.00
  20.00  40.00   6.00   0.05  20.00
  20.00  40.00   6.00   0.10   1.00
  20.00  40.00   6.00   0.10   5.00
  20.00  40.00   6.00   0.10  10.00
  20.00  40.00   6.00   0.10  20.00
  20.00  40.00   6.00   0.20   1.00
  20.00  40.00   6.00   0.20   5.00
  20.00  40.00   6.00   0.20  10.00
  20.00  40.00   6.00   0.20  20.00
